hour,value,site,season,case,var
20,0.46432889,FR-Cap,Winter,traffic,TBUILD
21,0.356711,FR-Cap,Winter,traffic,TBUILD
22,0.20193471,FR-Cap,Winter,traffic,TBUILD
23,0.095525995,FR-Cap,Winter,traffic,TBUILD
0,0.09436977,UK-MCR,Summer,cntl,TG_U
1,0.06372922,UK-MCR,Summer,cntl,TG_U
2,0.039140902,UK-MCR,Summer,cntl,TG_U
3,0.01810091,UK-MCR,Summer,cntl,TG_U
4,0.0,UK-MCR,Summer,cntl,TG_U
5,0.031756375,UK-MCR,Summer,cntl,TG_U
6,0.15185037,UK-MCR,Summer,cntl,TG_U
7,0.3325984,UK-MCR,Summer,cntl,TG_U
8,0.524951,UK-MCR,Summer,cntl,TG_U
9,0.69468576,UK-MCR,Summer,cntl,TG_U
10,0.8304169,UK-MCR,Summer,cntl,TG_U
11,0.9237088,UK-MCR,Summer,cntl,TG_U
12,0.9926579,UK-MCR,Summer,cntl,TG_U
13,1.0,UK-MCR,Summer,cntl,TG_U
14,0.9915688,UK-MCR,Summer,cntl,TG_U
15,0.9380963,UK-MCR,Summer,cntl,TG_U
16,0.8459336,UK-MCR,Summer,cntl,TG_U
17,0.7199882,UK-MCR,Summer,cntl,TG_U
18,0.5747435,UK-MCR,Summer,cntl,TG_U
19,0.42504,UK-MCR,Summer,cntl,TG_U
20,0.313549,UK-MCR,Summer,cntl,TG_U
21,0.23714402,UK-MCR,Summer,cntl,TG_U
22,0.1800294,UK-MCR,Summer,cntl,TG_U
23,0.13407974,UK-MCR,Summer,cntl,TG_U
0,0.2104108,UK-MCR,Summer,cntl,TSA_U
1,0.15427175,UK-MCR,Summer,cntl,TSA_U
2,0.10370449,UK-MCR,Summer,cntl,TSA_U
3,0.06276925,UK-MCR,Summer,cntl,TSA_U
4,0.027048266,UK-MCR,Summer,cntl,TSA_U
5,0.0,UK-MCR,Summer,cntl,TSA_U
6,0.03687853,UK-MCR,Summer,cntl,TSA_U
7,0.19379812,UK-MCR,Summer,cntl,TSA_U
8,0.40681782,UK-MCR,Summer,cntl,TSA_U
9,0.59778404,UK-MCR,Summer,cntl,TSA_U
10,0.73220414,UK-MCR,Summer,cntl,TSA_U
11,0.8389494,UK-MCR,Summer,cntl,TSA_U
12,0.9179065,UK-MCR,Summer,cntl,TSA_U
13,0.97047025,UK-MCR,Summer,cntl,TSA_U
14,0.991614,UK-MCR,Summer,cntl,TSA_U
15,1.0,UK-MCR,Summer,cntl,TSA_U
16,0.9714048,UK-MCR,Summer,cntl,TSA_U
17,0.91838795,UK-MCR,Summer,cntl,TSA_U
18,0.8332643,UK-MCR,Summer,cntl,TSA_U
19,0.70965505,UK-MCR,Summer,cntl,TSA_U
20,0.5764102,UK-MCR,Summer,cntl,TSA_U
21,0.45443282,UK-MCR,Summer,cntl,TSA_U
22,0.3615887,UK-MCR,Summer,cntl,TSA_U
23,0.2841431,UK-MCR,Summer,cntl,TSA_U
0,0.42085713,UK-MCR,Summer,cntl,TBUILD
1,0.34054944,UK-MCR,Summer,cntl,TBUILD
2,0.2615824,UK-MCR,Summer,cntl,TBUILD
3,0.18593407,UK-MCR,Summer,cntl,TBUILD
4,0.11076923,UK-MCR,Summer,cntl,TBUILD
5,0.044087913,UK-MCR,Summer,cntl,TBUILD
6,0.0,UK-MCR,Summer,cntl,TBUILD
7,0.036373626,UK-MCR,Summer,cntl,TBUILD
8,0.14573626,UK-MCR,Summer,cntl,TBUILD
9,0.27327472,UK-MCR,Summer,cntl,TBUILD
10,0.3810989,UK-MCR,Summer,cntl,TBUILD
11,0.49892306,UK-MCR,Summer,cntl,TBUILD
12,0.61846155,UK-MCR,Summer,cntl,TBUILD
13,0.7356923,UK-MCR,Summer,cntl,TBUILD
14,0.8329011,UK-MCR,Summer,cntl,TBUILD
15,0.9215385,UK-MCR,Summer,cntl,TBUILD
16,0.97613186,UK-MCR,Summer,cntl,TBUILD
17,1.0,UK-MCR,Summer,cntl,TBUILD
18,0.9821978,UK-MCR,Summer,cntl,TBUILD
19,0.9142198,UK-MCR,Summer,cntl,TBUILD
20,0.81443954,UK-MCR,Summer,cntl,TBUILD
21,0.7056923,UK-MCR,Summer,cntl,TBUILD
22,0.61010987,UK-MCR,Summer,cntl,TBUILD
23,0.5206813,UK-MCR,Summer,cntl,TBUILD
0,0.10808836,UK-MCR,Winter,cntl,TG_U
1,0.10301349,UK-MCR,Winter,cntl,TG_U
2,0.07980738,UK-MCR,Winter,cntl,TG_U
3,0.060348485,UK-MCR,Winter,cntl,TG_U
4,0.040622495,UK-MCR,Winter,cntl,TG_U
5,0.012192247,UK-MCR,Winter,cntl,TG_U
6,0.0,UK-MCR,Winter,cntl,TG_U
7,0.0022860465,UK-MCR,Winter,cntl,TG_U
8,0.009788364,UK-MCR,Winter,cntl,TG_U
9,0.1361808,UK-MCR,Winter,cntl,TG_U
10,0.44553554,UK-MCR,Winter,cntl,TG_U
11,0.7177086,UK-MCR,Winter,cntl,TG_U
12,0.9106949,UK-MCR,Winter,cntl,TG_U
13,1.0,UK-MCR,Winter,cntl,TG_U
14,0.9548525,UK-MCR,Winter,cntl,TG_U
15,0.80001414,UK-MCR,Winter,cntl,TG_U
16,0.60983235,UK-MCR,Winter,cntl,TG_U
17,0.4508932,UK-MCR,Winter,cntl,TG_U
18,0.34299338,UK-MCR,Winter,cntl,TG_U
19,0.28033528,UK-MCR,Winter,cntl,TG_U
20,0.22811759,UK-MCR,Winter,cntl,TG_U
21,0.18143825,UK-MCR,Winter,cntl,TG_U
22,0.15171179,UK-MCR,Winter,cntl,TG_U
23,0.12556759,UK-MCR,Winter,cntl,TG_U
0,0.13183542,UK-MCR,Winter,cntl,TSA_U
1,0.1230091,UK-MCR,Winter,cntl,TSA_U
2,0.08875616,UK-MCR,Winter,cntl,TSA_U
3,0.056920744,UK-MCR,Winter,cntl,TSA_U
4,0.041240044,UK-MCR,Winter,cntl,TSA_U
5,0.025673114,UK-MCR,Winter,cntl,TSA_U
6,0.0,UK-MCR,Winter,cntl,TSA_U
7,0.01149981,UK-MCR,Winter,cntl,TSA_U
8,0.0036215396,UK-MCR,Winter,cntl,TSA_U
9,0.029910883,UK-MCR,Winter,cntl,TSA_U
10,0.1613576,UK-MCR,Winter,cntl,TSA_U
11,0.44794273,UK-MCR,Winter,cntl,TSA_U
12,0.71327263,UK-MCR,Winter,cntl,TSA_U
13,0.9115567,UK-MCR,Winter,cntl,TSA_U
14,1.0,UK-MCR,Winter,cntl,TSA_U
15,0.96906525,UK-MCR,Winter,cntl,TSA_U
16,0.8302427,UK-MCR,Winter,cntl,TSA_U
17,0.65403867,UK-MCR,Winter,cntl,TSA_U
18,0.51570916,UK-MCR,Winter,cntl,TSA_U
19,0.4115093,UK-MCR,Winter,cntl,TSA_U
20,0.3304418,UK-MCR,Winter,cntl,TSA_U
21,0.2615093,UK-MCR,Winter,cntl,TSA_U
22,0.20226583,UK-MCR,Winter,cntl,TSA_U
23,0.16241941,UK-MCR,Winter,cntl,TSA_U
0,,UK-MCR,Winter,cntl,TBUILD
1,,UK-MCR,Winter,cntl,TBUILD
2,,UK-MCR,Winter,cntl,TBUILD
3,,UK-MCR,Winter,cntl,TBUILD
4,,UK-MCR,Winter,cntl,TBUILD
5,,UK-MCR,Winter,cntl,TBUILD
6,,UK-MCR,Winter,cntl,TBUILD
7,,UK-MCR,Winter,cntl,TBUILD
8,,UK-MCR,Winter,cntl,TBUILD
9,,UK-MCR,Winter,cntl,TBUILD
10,,UK-MCR,Winter,cntl,TBUILD
11,,UK-MCR,Winter,cntl,TBUILD
12,,UK-MCR,Winter,cntl,TBUILD
13,,UK-MCR,Winter,cntl,TBUILD
14,,UK-MCR,Winter,cntl,TBUILD
15,,UK-MCR,Winter,cntl,TBUILD
16,,UK-MCR,Winter,cntl,TBUILD
17,,UK-MCR,Winter,cntl,TBUILD
18,,UK-MCR,Winter,cntl,TBUILD
19,,UK-MCR,Winter,cntl,TBUILD
20,,UK-MCR,Winter,cntl,TBUILD
21,,UK-MCR,Winter,cntl,TBUILD
22,,UK-MCR,Winter,cntl,TBUILD
23,,UK-MCR,Winter,cntl,TBUILD
0,0.3330179,UK-MCR,Summer,traffic,TRAFFICFLUX
1,0.16645317,UK-MCR,Summer,traffic,TRAFFICFLUX
2,0.16647361,UK-MCR,Summer,traffic,TRAFFICFLUX
3,0.0,UK-MCR,Summer,traffic,TRAFFICFLUX
4,2.8592745e-05,UK-MCR,Summer,traffic,TRAFFICFLUX
5,1.3854023e-05,UK-MCR,Summer,traffic,TRAFFICFLUX
6,0.00049597776,UK-MCR,Summer,traffic,TRAFFICFLUX
7,0.16700397,UK-MCR,Summer,traffic,TRAFFICFLUX
8,0.33352333,UK-MCR,Summer,traffic,TRAFFICFLUX
9,0.50012255,UK-MCR,Summer,traffic,TRAFFICFLUX
10,0.6668116,UK-MCR,Summer,traffic,TRAFFICFLUX
11,0.6666898,UK-MCR,Summer,traffic,TRAFFICFLUX
12,0.8336577,UK-MCR,Summer,traffic,TRAFFICFLUX
13,0.8335129,UK-MCR,Summer,traffic,TRAFFICFLUX
14,0.8326771,UK-MCR,Summer,traffic,TRAFFICFLUX
15,0.83298737,UK-MCR,Summer,traffic,TRAFFICFLUX
16,0.9992195,UK-MCR,Summer,traffic,TRAFFICFLUX
17,0.9988968,UK-MCR,Summer,traffic,TRAFFICFLUX
18,1.0,UK-MCR,Summer,traffic,TRAFFICFLUX
19,0.83273286,UK-MCR,Summer,traffic,TRAFFICFLUX
20,0.66640306,UK-MCR,Summer,traffic,TRAFFICFLUX
21,0.49985525,UK-MCR,Summer,traffic,TRAFFICFLUX
22,0.49976662,UK-MCR,Summer,traffic,TRAFFICFLUX
23,0.4997262,UK-MCR,Summer,traffic,TRAFFICFLUX
0,0.09939531,UK-MCR,Summer,traffic,TG_U
1,0.067106225,UK-MCR,Summer,traffic,TG_U
2,0.042330146,UK-MCR,Summer,traffic,TG_U
3,0.019377898,UK-MCR,Summer,traffic,TG_U
4,0.0,UK-MCR,Summer,traffic,TG_U
5,0.032671187,UK-MCR,Summer,traffic,TG_U
6,0.15430343,UK-MCR,Summer,traffic,TG_U
7,0.33451146,UK-MCR,Summer,traffic,TG_U
8,0.52552694,UK-MCR,Summer,traffic,TG_U
9,0.6932569,UK-MCR,Summer,traffic,TG_U
10,0.8305306,UK-MCR,Summer,traffic,TG_U
11,0.9224884,UK-MCR,Summer,traffic,TG_U
12,0.9925048,UK-MCR,Summer,traffic,TG_U
13,1.0,UK-MCR,Summer,traffic,TG_U
14,0.992056,UK-MCR,Summer,traffic,TG_U
15,0.9390406,UK-MCR,Summer,traffic,TG_U
16,0.8498485,UK-MCR,Summer,traffic,TG_U
17,0.7255438,UK-MCR,Summer,traffic,TG_U
18,0.58279425,UK-MCR,Summer,traffic,TG_U
19,0.43303373,UK-MCR,Summer,traffic,TG_U
20,0.32070944,UK-MCR,Summer,traffic,TG_U
21,0.24240035,UK-MCR,Summer,traffic,TG_U
22,0.1856484,UK-MCR,Summer,traffic,TG_U
23,0.14050588,UK-MCR,Summer,traffic,TG_U
0,0.21501099,UK-MCR,Summer,traffic,TSA_U
1,0.16049851,UK-MCR,Summer,traffic,TSA_U
2,0.10928873,UK-MCR,Summer,traffic,TSA_U
3,0.067752145,UK-MCR,Summer,traffic,TSA_U
4,0.027838001,UK-MCR,Summer,traffic,TSA_U
5,0.0,UK-MCR,Summer,traffic,TSA_U
6,0.037843637,UK-MCR,Summer,traffic,TSA_U
7,0.19781098,UK-MCR,Summer,traffic,TSA_U
8,0.411868,UK-MCR,Summer,traffic,TSA_U
9,0.59591895,UK-MCR,Summer,traffic,TSA_U
10,0.72695345,UK-MCR,Summer,traffic,TSA_U
11,0.83501,UK-MCR,Summer,traffic,TSA_U
12,0.9149358,UK-MCR,Summer,traffic,TSA_U
13,0.969105,UK-MCR,Summer,traffic,TSA_U
14,0.99096274,UK-MCR,Summer,traffic,TSA_U
15,1.0,UK-MCR,Summer,traffic,TSA_U
16,0.971078,UK-MCR,Summer,traffic,TSA_U
17,0.91894674,UK-MCR,Summer,traffic,TSA_U
18,0.8330009,UK-MCR,Summer,traffic,TSA_U
19,0.7097715,UK-MCR,Summer,traffic,TSA_U
20,0.5761209,UK-MCR,Summer,traffic,TSA_U
21,0.45276502,UK-MCR,Summer,traffic,TSA_U
22,0.35985243,UK-MCR,Summer,traffic,TSA_U
23,0.28489867,UK-MCR,Summer,traffic,TSA_U
0,0.4314834,UK-MCR,Summer,traffic,TBUILD
1,0.350036,UK-MCR,Summer,traffic,TBUILD
2,0.26869777,UK-MCR,Summer,traffic,TBUILD
3,0.19229174,UK-MCR,Summer,traffic,TBUILD
4,0.11479453,UK-MCR,Summer,traffic,TBUILD
5,0.043517165,UK-MCR,Summer,traffic,TBUILD
6,0.0,UK-MCR,Summer,traffic,TBUILD
7,0.041574825,UK-MCR,Summer,traffic,TBUILD
8,0.15571463,UK-MCR,Summer,traffic,TBUILD
9,0.27664173,UK-MCR,Summer,traffic,TBUILD
10,0.38301215,UK-MCR,Summer,traffic,TBUILD
11,0.50031644,UK-MCR,Summer,traffic,TBUILD
12,0.6201305,UK-MCR,Summer,traffic,TBUILD
13,0.73664916,UK-MCR,Summer,traffic,TBUILD
14,0.8331333,UK-MCR,Summer,traffic,TBUILD
15,0.9207132,UK-MCR,Summer,traffic,TBUILD
16,0.9754916,UK-MCR,Summer,traffic,TBUILD
17,1.0,UK-MCR,Summer,traffic,TBUILD
18,0.9820824,UK-MCR,Summer,traffic,TBUILD
19,0.9158683,UK-MCR,Summer,traffic,TBUILD
20,0.818904,UK-MCR,Summer,traffic,TBUILD
21,0.7099147,UK-MCR,Summer,traffic,TBUILD
22,0.61454356,UK-MCR,Summer,traffic,TBUILD
23,0.52831674,UK-MCR,Summer,traffic,TBUILD
0,0.3334309,UK-MCR,Winter,traffic,TRAFFICFLUX
1,0.16673407,UK-MCR,Winter,traffic,TRAFFICFLUX
2,0.16665019,UK-MCR,Winter,traffic,TRAFFICFLUX
3,0.0,UK-MCR,Winter,traffic,TRAFFICFLUX
4,0.00016567836,UK-MCR,Winter,traffic,TRAFFICFLUX
5,0.0003692684,UK-MCR,Winter,traffic,TRAFFICFLUX
6,0.0004732676,UK-MCR,Winter,traffic,TRAFFICFLUX
7,0.16731398,UK-MCR,Winter,traffic,TRAFFICFLUX
8,0.33438492,UK-MCR,Winter,traffic,TRAFFICFLUX
9,0.50119,UK-MCR,Winter,traffic,TRAFFICFLUX
10,0.6680765,UK-MCR,Winter,traffic,TRAFFICFLUX
11,0.6683839,UK-MCR,Winter,traffic,TRAFFICFLUX
12,0.8334349,UK-MCR,Winter,traffic,TRAFFICFLUX
13,0.8326623,UK-MCR,Winter,traffic,TRAFFICFLUX
14,0.8325968,UK-MCR,Winter,traffic,TRAFFICFLUX
15,0.833709,UK-MCR,Winter,traffic,TRAFFICFLUX
16,1.0,UK-MCR,Winter,traffic,TRAFFICFLUX
17,0.9998083,UK-MCR,Winter,traffic,TRAFFICFLUX
18,0.99985313,UK-MCR,Winter,traffic,TRAFFICFLUX
19,0.83268154,UK-MCR,Winter,traffic,TRAFFICFLUX
20,0.66616535,UK-MCR,Winter,traffic,TRAFFICFLUX
21,0.4995481,UK-MCR,Winter,traffic,TRAFFICFLUX
22,0.4999539,UK-MCR,Winter,traffic,TRAFFICFLUX
23,0.5005316,UK-MCR,Winter,traffic,TRAFFICFLUX
0,0.1484142,UK-MCR,Winter,traffic,TG_U
1,0.13212574,UK-MCR,Winter,traffic,TG_U
2,0.10547797,UK-MCR,Winter,traffic,TG_U
3,0.07476365,UK-MCR,Winter,traffic,TG_U
4,0.047277343,UK-MCR,Winter,traffic,TG_U
5,0.014173555,UK-MCR,Winter,traffic,TG_U
6,0.0,UK-MCR,Winter,traffic,TG_U
7,0.0062705,UK-MCR,Winter,traffic,TG_U
8,0.022596061,UK-MCR,Winter,traffic,TG_U
9,0.154937,UK-MCR,Winter,traffic,TG_U
10,0.47372326,UK-MCR,Winter,traffic,TG_U
11,0.73716587,UK-MCR,Winter,traffic,TG_U
12,0.9214295,UK-MCR,Winter,traffic,TG_U
13,1.0,UK-MCR,Winter,traffic,TG_U
14,0.95061517,UK-MCR,Winter,traffic,TG_U
15,0.80111015,UK-MCR,Winter,traffic,TG_U
16,0.62726516,UK-MCR,Winter,traffic,TG_U
17,0.48112172,UK-MCR,Winter,traffic,TG_U
18,0.3865225,UK-MCR,Winter,traffic,TG_U
19,0.32891554,UK-MCR,Winter,traffic,TG_U
20,0.2775494,UK-MCR,Winter,traffic,TG_U
21,0.22747444,UK-MCR,Winter,traffic,TG_U
22,0.19921637,UK-MCR,Winter,traffic,TG_U
23,0.17222725,UK-MCR,Winter,traffic,TG_U
0,0.18779396,UK-MCR,Winter,traffic,TSA_U
1,0.16728847,UK-MCR,Winter,traffic,TSA_U
2,0.124519624,UK-MCR,Winter,traffic,TSA_U
3,0.085547045,UK-MCR,Winter,traffic,TSA_U
4,0.056766436,UK-MCR,Winter,traffic,TSA_U
5,0.03073485,UK-MCR,Winter,traffic,TSA_U
6,0.0,UK-MCR,Winter,traffic,TSA_U
7,0.01030417,UK-MCR,Winter,traffic,TSA_U
8,0.010294819,UK-MCR,Winter,traffic,TSA_U
9,0.05188551,UK-MCR,Winter,traffic,TSA_U
10,0.1975932,UK-MCR,Winter,traffic,TSA_U
11,0.49640477,UK-MCR,Winter,traffic,TSA_U
12,0.7546916,UK-MCR,Winter,traffic,TSA_U
13,0.9306105,UK-MCR,Winter,traffic,TSA_U
14,1.0,UK-MCR,Winter,traffic,TSA_U
15,0.95581925,UK-MCR,Winter,traffic,TSA_U
16,0.8104575,UK-MCR,Winter,traffic,TSA_U
17,0.6407847,UK-MCR,Winter,traffic,TSA_U
18,0.5164427,UK-MCR,Winter,traffic,TSA_U
19,0.44303253,UK-MCR,Winter,traffic,TSA_U
20,0.37286693,UK-MCR,Winter,traffic,TSA_U
21,0.31560493,UK-MCR,Winter,traffic,TSA_U
22,0.258025,UK-MCR,Winter,traffic,TSA_U
23,0.21678962,UK-MCR,Winter,traffic,TSA_U
0,,UK-MCR,Winter,traffic,TBUILD
1,,UK-MCR,Winter,traffic,TBUILD
2,,UK-MCR,Winter,traffic,TBUILD
3,,UK-MCR,Winter,traffic,TBUILD
4,,UK-MCR,Winter,traffic,TBUILD
5,,UK-MCR,Winter,traffic,TBUILD
6,,UK-MCR,Winter,traffic,TBUILD
7,,UK-MCR,Winter,traffic,TBUILD
8,,UK-MCR,Winter,traffic,TBUILD
9,,UK-MCR,Winter,traffic,TBUILD
10,,UK-MCR,Winter,traffic,TBUILD
11,,UK-MCR,Winter,traffic,TBUILD
12,,UK-MCR,Winter,traffic,TBUILD
13,,UK-MCR,Winter,traffic,TBUILD
14,,UK-MCR,Winter,traffic,TBUILD
15,,UK-MCR,Winter,traffic,TBUILD
16,,UK-MCR,Winter,traffic,TBUILD
17,,UK-MCR,Winter,traffic,TBUILD
18,,UK-MCR,Winter,traffic,TBUILD
19,,UK-MCR,Winter,traffic,TBUILD
20,,UK-MCR,Winter,traffic,TBUILD
21,,UK-MCR,Winter,traffic,TBUILD
22,,UK-MCR,Winter,traffic,TBUILD
23,,UK-MCR,Winter,traffic,TBUILD
